s,from_country,dest_airport_code,dest_country,aircraft_type,airline_number,airline_name,flight_number,departure_time,arrival_time,duration,stops,price,currency,co2_emissions,avg_co2_emission_for_this_route,co2_percentage,scan_date
GRU,Brazil,MUC,Germany,Boeing 787|Airbus A320,multi,[LATAM| Lufthansa],LA702|LA702,7/28/2022 23:00,7/30/2022 08:15,1695,1,1892,USD,3577000,933000,283%,4/29/2022 17:52
GRU,Brazil,MUC,Germany,Airbus A330|Airbus A321|Airbus A320,multi,[Iberia| Lufthansa],IB6824|IB6824|IB6824,7/28/2022 14:20,7/29/2022 11:20,960,2,1899,USD,4014000,933000,330%,4/29/2022 17:52
GRU,Brazil,MUC,Germany,Boeing 787|Boeing 787,AC,[Air Canada],AC91|AC91,7/28/2022 21:20,7/30/2022 07:45,1765,1,2261,USD,1925000,933000,106%,4/29/2022 17:52
GRU,Brazil,MUC,Germany,Boeing 787|Airbus A350,multi,[United| Lufthansa],UA844|UA844,7/28/2022 22:20,7/30/2022 07:20,1680,1,2330,USD,1288000,933000,38%,4/29/2022 17:52
GRU,Brazil,MUC,Germany,Airbus A350|Airbus A320neo,BA,[British Airways],BA246|BA246,7/28/2022 16:05,7/29/2022 11:50,885,1,2490,USD,2888000,933000,209%,4/29/2022 17:52
GRU,Brazil,MUC,Germany,Airbus A350|Airbus A319,BA,[British Airways],BA246|BA246,7/28/2022 16:05,7/29/2022 15:35,1110,1,2490,USD,2949000,933000,216%,4/29/2022 17:52
GRU,Brazil,MUC,Germany,Airbus A350|Airbus A319,BA,[British Airways],BA246|BA246,7/28/2022 16:05,7/29/2022 18:35,1290,1,2490,USD,2951000,933000,216%,4/29/2022 17:52
GRU,Brazil,MUC,Germany,Embraer 195|Airbus A350,multi,[Azul| Lufthansa],AD4084|AD4084,7/28/2022 10:40,7/29/2022 13:10,1290,1,3778,USD,805000,933000,-13%,4/29/2022 17:52
GRU,Brazil,MUC,Germany,Boeing 777|Embraer 190 E2|Airbus A320,multi,[SWISS| Lufthansa],LX93|LX93|LX93,7/28/2022 18:20,7/29/2022 17:55,1115,2,3778,USD,1300000,933000,39%,4/29/2022 17:52
GRU,Brazil,MUC,Germany,Boeing 777|Airbus A350,multi,[Air Canada| Lufthansa],AC97|AC97,7/28/2022 21:05,7/30/2022 10:10,1925,1,4376,USD,1317000,933000,41%,4/29/2022 17:52
GRU,Brazil,MUC,Germany,Boeing 787|Airbus A350,multi,[Air Canada| Lufthansa],AC91|AC91,7/28/2022 21:20,7/30/2022 10:10,1910,1,4494,USD,1281000,933000,37%,4/29/2022 17:52
GRU,Brazil,MUC,Germany,Boeing 777|Airbus A350,QR,[Qatar Airways],QR774|QR774,7/28/2022 02:40,7/29/2022 07:00,1400,1,15871,USD,7140000,933000,665%,4/29/2022 17:52
GRU,Brazil,MUC,Germany,Boeing 777|Airbus A350,QR,[Qatar Airways],QR774|QR774,7/28/2022 02:40,7/29/2022 13:30,1790,1,15871,USD,7140000,933000,665%,4/29/2022 17:52
GRU,Brazil,MUC,Germany,Boeing 777|Airbus A350,QR,[Qatar Airways],QR780|QR780,7/28/2022 20:35,7/30/2022 07:00,1765,1,15871,USD,7140000,933000,665%,4/29/2022 17:52
GRU,Brazil,BOG,Columbia,Airbus A319,AV,[Avianca],AV86,7/28/2022 07:10,7/28/2022 11:15,365,0,331,USD,544000,544000,0%,4/29/2022 17:52
GRU,Brazil,BOG,Columbia,Airbus A320,AV,[Avianca],AV248,7/28/2022 17:15,7/28/2022 21:20,365,0,331,USD,477000,544000,-12%,4/29/2022 17:52
GRU,Brazil,BOG,Columbia,Airbus A320,AV,[Avianca],AV184,7/28/2022 01:35,7/28/2022 05:40,365,0,367,USD,477000,544000,-12%,4/29/2022 17:52
GRU,Brazil,BOG,Columbia,Airbus A320,LA,[LATAM],LA8000,7/28/2022 08:10,7/28/2022 12:10,360,0,367,USD,436000,544000,-19%,4/29/2022 17:52
GRU,Brazil,BOG,Columbia,Boeing 737|Airbus A320,multi,[Gol| Avianca],G31098|G31098,7/28/2022 18:35,7/29/2022 11:45,1150,1,338,USD,413000,544000,-24%,4/29/2022 17:52
